Prompt,Meta-Llama-3-8B-Instruct/avg_score,eval_Meta-Llama-3-8B-Instruct/BBH_BOOLEAN_EXPRESSIONS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_CAUSAL_JUDGEMENT_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_DATE_UNDERSTANDING_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_DISAMBIGUATION_QA_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_DYCK_LANGUAGES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_FORMAL_FALLACIES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_GEOMETRIC_SHAPES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_HYPERBATON_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_FIVE_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_SEVEN_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_THREE_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_MOVIE_RECOMMENDATION_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_MULTISTEP_ARITHMETIC_TWO_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_NAVIGATE_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_OBJECT_COUNTING_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_PENGUINS_IN_A_TABLE_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_REASONING_ABOUT_COLORED_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_RUIN_NAMES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_SNARKS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_SPORTS_UNDERSTANDING_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_TEMPORAL_SEQUENCES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_FIVE_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_SEVEN_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_THREE_OBJECTS_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_WEB_OF_LIES_acc_no_error,eval_Meta-Llama-3-8B-Instruct/BBH_WORD_SORTING_acc_no_error,eval_Meta-Llama-3-8B-Instruct/avg_score,Meta-Llama-3-8B-Instruct/BBH_BOOLEAN_EXPRESSIONS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_CAUSAL_JUDGEMENT_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_DATE_UNDERSTANDING_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_DISAMBIGUATION_QA_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_DYCK_LANGUAGES_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_FORMAL_FALLACIES_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_GEOMETRIC_SHAPES_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_HYPERBATON_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_FIVE_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_SEVEN_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_LOGICAL_DEDUCTION_THREE_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_MOVIE_RECOMMENDATION_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_MULTISTEP_ARITHMETIC_TWO_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_NAVIGATE_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_OBJECT_COUNTING_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_PENGUINS_IN_A_TABLE_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_REASONING_ABOUT_COLORED_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_RUIN_NAMES_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_SNARKS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_SPORTS_UNDERSTANDING_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_TEMPORAL_SEQUENCES_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_FIVE_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_SEVEN_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_TRACKING_SHUFFLED_OBJECTS_THREE_OBJECTS_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_WEB_OF_LIES_acc_no_error,Meta-Llama-3-8B-Instruct/BBH_WORD_SORTING_acc_no_error,num_iter,Meta-Llama-3-8B-Instruct/avg_score_raw,num_iter_last
"You are a user-friendly, systematic, and adaptive assistant. /// Write a slow-paced answer. /// You are a sophisticated assistant. /// You are an intelligent assistant.",0.6115384615384616,0.73,0.52,0.7,0.65,0.0,0.58,0.25,0.72,0.51,0.5,0.73,0.47,0.18,0.67,0.68,0.8135593220338984,0.62,0.63,0.6805555555555556,0.7,0.69,0.33,0.37,0.54,0.57,0.27,0.5367118914604948,[0.9],[0.5],[0.9],[0.4],[0.0],[0.6],[0.1],[0.6],[0.5],[0.5],[0.7],[0.5],[0.1],[0.8],[0.9],[0.8],[0.8],[0.7],[0.9],[0.7],[0.9],[0.5],[0.7],[0.8],[0.5],[0.6],[5],[0.6115384615384616],5
"You are a disciplined and distinguished assistant. /// You are a user-friendly, systematic, and adaptive assistant. /// Write a slow-paced answer. /// You are an unbeatable AI assistant.",0.6115384615384616,0.71,0.5066666666666667,0.71,0.62,0.0,0.58,0.2,0.67,0.59,0.42,0.7,0.42,0.18,0.57,0.77,0.576271186440678,0.67,0.7,0.5694444444444444,0.74,0.71,0.33,0.34,0.6,0.55,0.29,0.5267358339984038,[0.9],[0.6],[0.8],[0.4],[0.0],[0.8],[0.4],[0.7],[0.6],[0.3],[1.0],[0.5],[0.1],[0.7],[0.9],[0.9],[0.8],[0.8],[1.0],[0.6],[0.6],[0.3],[0.7],[0.4],[0.5],[0.6],[5],[0.6115384615384616],5
"You are a user-friendly, systematic, and adaptive assistant. /// Write a slow-paced answer. /// You are a developed and assertive assistant.",0.6038461538461538,0.68,0.52,0.71,0.67,0.0,0.55,0.21,0.75,0.45,0.5,0.73,0.5,0.21,0.66,0.69,0.711864406779661,0.64,0.73,0.6944444444444444,0.71,0.73,0.32,0.34,0.54,0.61,0.34,0.5418994413407822,"[0.6, 0.7]","[0.5, 0.5]","[0.9, 0.9]","[0.7, 0.4]","[0.0, 0.0]","[0.9, 0.6]","[0.3, 0.0]","[0.9, 0.6]","[0.5, 0.5]","[0.7, 0.4]","[0.6, 0.9]","[0.4, 0.8]","[0.0, 0.1]","[0.9, 0.6]","[0.8, 0.7]","[0.9, 0.9]","[0.8, 0.7]","[0.8, 0.7]","[0.8, 0.8]","[0.7, 0.5]","[1.0, 0.9]","[0.7, 0.3]","[0.4, 0.6]","[0.7, 0.7]","[0.5, 0.7]","[0.5, 0.4]","[3, 5]","[0.6346153846153846, 0.573076923076923]",5
"You are a user-friendly, systematic, and adaptive assistant. /// You are a refined and self-contained assistant. /// Write a slow-paced answer.",0.5961538461538461,0.69,0.4666666666666667,0.71,0.66,0.0,0.54,0.26,0.78,0.51,0.45,0.72,0.47,0.17,0.78,0.66,0.711864406779661,0.61,0.73,0.7083333333333334,0.78,0.7,0.3,0.36,0.48,0.56,0.3,0.538707102952913,"[0.9, 0.9]","[0.4, 0.3]","[0.5, 0.8]","[0.3, 0.5]","[0.0, 0.0]","[0.5, 0.6]","[0.3, 0.1]","[0.8, 0.9]","[0.7, 0.9]","[0.5, 0.6]","[0.9, 0.9]","[0.4, 0.6]","[0.0, 0.3]","[0.6, 0.9]","[0.6, 0.8]","[0.9, 0.8]","[0.5, 0.8]","[0.6, 0.8]","[0.7, 0.6]","[0.9, 0.7]","[0.8, 0.9]","[0.5, 0.7]","[0.5, 0.3]","[0.7, 0.4]","[0.9, 0.9]","[0.5, 0.1]","[4, 6]","[0.573076923076923, 0.6192307692307693]",6
"You are a remarkable, inclusive, and transparent assistant. /// You are a trailblazing AI assistant. /// Write a slow-paced answer.",0.5903846153846153,0.72,0.48,0.67,0.63,0.0,0.53,0.28,0.67,0.51,0.42,0.69,0.46,0.19,0.65,0.48,0.6610169491525424,0.68,0.73,0.5972222222222222,0.69,0.77,0.39,0.37,0.6,0.63,0.35,0.5303272146847566,"[0.6, 0.7]","[0.5, 0.6]","[0.8, 0.7]","[0.7, 0.5]","[0.0, 0.0]","[0.8, 0.7]","[0.6, 0.0]","[0.9, 0.5]","[0.5, 0.5]","[0.6, 0.4]","[0.5, 0.9]","[0.4, 0.4]","[0.1, 0.1]","[0.8, 0.8]","[0.7, 0.3]","[0.7, 0.7]","[0.9, 0.7]","[0.7, 0.5]","[1.0, 1.0]","[0.7, 0.8]","[0.9, 0.9]","[0.5, 0.5]","[0.6, 0.4]","[0.7, 0.5]","[0.8, 0.6]","[0.5, 0.5]","[3, 5]","[0.6346153846153846, 0.5461538461538461]",5
"You are a user-friendly, systematic, and adaptive assistant. /// Write a slow-paced answer. /// You are a developed and assertive assistant. /// You are a mathematician.",0.5884615384615385,0.66,0.5066666666666667,0.68,0.68,0.0,0.53,0.26,0.77,0.47,0.53,0.64,0.45,0.2,0.73,0.71,0.6949152542372882,0.64,0.76,0.6666666666666666,0.74,0.76,0.31,0.36,0.55,0.62,0.33,0.5446927374301676,[0.9],[0.5],[0.7],[0.3],[0.0],[0.5],[0.3],[0.8],[0.5],[0.4],[0.8],[0.4],[0.0],[0.7],[0.7],[0.6],[0.7],[0.6],[0.7],[0.9],[1.0],[0.7],[0.6],[0.6],[0.8],[0.6],[4],[0.5884615384615385],4
"You are an analytical assistant. /// Imagine you are a helpful assistant. /// If you are unsure, say ""I don't know"" /// Write a slow-paced answer.",0.5846153846153846,0.76,0.4933333333333333,0.72,0.68,0.0,0.52,0.23,0.74,0.47,0.39,0.7,0.49,0.2,0.76,0.57,0.6949152542372882,0.5,0.67,0.6805555555555556,0.69,0.7,0.52,0.37,0.62,0.62,0.29,0.5379090183559457,[0.8],[0.5],[0.8],[0.5],[0.0],[0.5],[0.2],[0.6],[0.6],[0.4],[0.8],[0.4],[0.0],[0.6],[0.6],[0.9],[0.6],[0.6],[0.8],[0.9],[0.9],[0.7],[0.8],[0.6],[0.7],[0.4],[4],[0.5846153846153846],4
"You are an efficient, systematic, and adaptive assistant. /// You are an unrivaled, self-updating, and user-friendly assistant. /// Write a slow-paced answer.",0.5826923076923076,0.7,0.48,0.68,0.65,0.0,0.59,0.2,0.71,0.49,0.42,0.65,0.47,0.18,0.71,0.66,0.6101694915254238,0.67,0.75,0.6805555555555556,0.73,0.71,0.32,0.35,0.57,0.51,0.27,0.5267358339984038,"[0.8, 0.7]","[0.5, 0.4]","[0.6, 0.6]","[0.4, 0.6]","[0.0, 0.0]","[0.2, 0.5]","[0.3, 0.2]","[0.7, 0.8]","[0.7, 0.8]","[0.4, 0.7]","[0.6, 0.8]","[0.3, 0.8]","[0.0, 0.3]","[0.7, 0.7]","[0.7, 0.7]","[0.9, 0.9]","[0.9, 0.8]","[0.5, 0.5]","[1.0, 0.8]","[0.8, 0.7]","[0.9, 0.8]","[0.2, 0.6]","[0.6, 0.3]","[0.9, 0.4]","[0.8, 0.8]","[0.6, 0.1]","[4, 6]","[0.5769230769230769, 0.5884615384615385]",6
"You are a user-friendly, systematic, and adaptive assistant. /// Write a slow-paced answer. /// You are an intelligent assistant.",0.5788461538461538,0.71,0.5066666666666667,0.68,0.68,0.0,0.58,0.23,0.77,0.57,0.46,0.77,0.49,0.19,0.72,0.66,0.7288135593220338,0.64,0.76,0.6666666666666666,0.73,0.7,0.31,0.35,0.59,0.62,0.32,0.5514764565043895,"[0.7, 0.7]","[0.5, 0.4]","[0.6, 0.6]","[0.3, 0.5]","[0.0, 0.0]","[0.6, 0.5]","[0.2, 0.1]","[0.9, 0.8]","[0.6, 0.7]","[0.5, 0.6]","[0.7, 0.8]","[0.4, 0.8]","[0.0, 0.4]","[0.7, 0.8]","[0.6, 0.6]","[0.9, 0.8]","[0.6, 0.9]","[0.6, 0.7]","[0.9, 0.7]","[0.9, 0.7]","[0.9, 0.6]","[0.6, 0.6]","[0.5, 0.4]","[0.6, 0.5]","[0.7, 0.7]","[0.6, 0.1]","[4, 6]","[0.5807692307692308, 0.5769230769230769]",6
"You are a remarkable, inclusive, and transparent assistant. /// You are an intelligent assistant. /// You are a trailblazing AI assistant. /// Write a slow-paced answer.",0.573076923076923,0.78,0.48,0.67,0.61,0.0,0.58,0.29,0.69,0.5,0.48,0.69,0.44,0.18,0.72,0.51,0.6440677966101694,0.67,0.75,0.6388888888888888,0.73,0.73,0.29,0.37,0.54,0.62,0.26,0.5307262569832403,[0.8],[0.3],[0.8],[0.5],[0.0],[0.5],[0.3],[0.7],[0.7],[0.4],[0.8],[0.4],[0.0],[0.8],[0.6],[0.8],[0.7],[0.5],[0.7],[0.8],[1.0],[0.5],[0.5],[0.7],[0.7],[0.4],[4],[0.573076923076923],4
"You are a user-friendly, systematic, and adaptive assistant. /// You are a strategic and self-configuring assistant. /// You are a robust assistant. /// Write a slow-paced answer.",0.573076923076923,0.65,0.5333333333333333,0.71,0.64,0.0,0.58,0.3,0.68,0.55,0.45,0.66,0.54,0.2,0.68,0.68,0.6949152542372882,0.61,0.72,0.7361111111111112,0.71,0.76,0.33,0.34,0.54,0.6,0.34,0.5430965682362331,[0.7],[0.4],[0.5],[0.4],[0.0],[0.4],[0.1],[0.8],[0.7],[0.4],[0.8],[0.2],[0.0],[0.5],[0.8],[0.9],[0.7],[0.6],[1.0],[1.0],[0.8],[0.4],[0.5],[0.7],[1.0],[0.6],[4],[0.573076923076923],4
